B3,40.619922,-73.907308,2015-12-30T18:59:38.000,5110,UP_W5-Weekday-106400_B3_119,2015-12-30,B30048,300240,52.18,0.0,approaching
B35,40.652699,-73.920097,2015-12-30T18:59:55.000,7610,JG_W5-Weekday-111100_B35_48,2015-12-30,B350149,302741,106.06,1353.28,approaching
B68,40.629552,-73.966076,2015-12-30T18:59:46.000,7601,JG_W5-Weekday-111300_B68_133,2015-12-30,B680021,305750,40.91,3862.65,approaching
Q76,40.781287,-73.803254,2015-12-30T18:59:57.000,6887,CS_W5-Weekday-109500_MISC_759,2015-12-30,Q760118,502717,46.04,11640.75,approaching
B46,40.637735,-73.928887,2015-12-30T18:59:54.000,7308,FB_W5-Weekday-109800_B46_103,2015-12-30,B460227,303696,580.58,6815.67,< 1 stop away
M5,40.750231,-73.987453,2015-12-30T19:00:02.000,6663,MV_W5-Weekday-110600_M5_248,2015-12-30,M050311,400936,624.05,6646.85,< 1 stop away
Q58,40.753309,-73.832694,2015-12-30T18:59:52.000,7296,FP_W5-Weekday-104400_Q58_253,2015-12-30,Q58C0055,503497,82.82,12437.94,approaching
M9,40.710491,-74.016222,2015-12-30T19:00:06.000,3914,MQ_W5-Weekday-115000_M9_120,2015-12-30,M090098,803104,287.51,294.36,< 1 stop away
B64,40.599071,-73.998094,2015-12-30T18:59:53.000,7179,UP_W5-Weekday-110000_B36_411,2015-12-30,B640074,305531,130.29,7633.82,approaching
B82,40.609032,-73.957628,2015-12-30T18:59:57.000,4841,EN_W5-Weekday-107700_B82_150,2015-12-30,B820203,300472,24.3,10927.65,at stop
X38,40.760684,-73.975635,2015-12-30T18:59:38.631,2400,UP_W5-Weekday-111000_X2838_827,2015-12-30,X380129,404179,152.22,550.11,approaching
BX17,40.860367,-73.888863,2015-12-30T18:59:59.677,291,WF_W5-Weekday-108400_BX17_121,2015-12-30,BX170010,104018,267.22,8458.33,< 1 stop away
M100,40.859427,-73.931279,2015-12-30T18:57:26.148,4372,KB_W5-Weekday-111600_M100_329,2015-12-30,M1000064,402620,205.65,4047.63,< 1 stop away
X17J,40.757361,-73.990099,2015-12-30T18:59:35.024,4309,CH_E5-Weekday-109200_X1719_745,2015-12-30,X17J0047,401851,38.5,2731.74,approaching
M102,40.738664,-73.983268,2015-12-30T19:00:01.000,5636,OH_W5-Weekday-109500_M101_92,2015-12-30,M1020120,403855,74.86,1242.58,approaching
Q13,40.765088,-73.771775,2015-12-30T18:59:54.000,4657,CS_W5-Weekday-110800_Q13_4,2015-12-30,Q130648,501026,162.87,6408.73,< 1 stop away
BX2,40.817263,-73.922281,2015-12-30T18:59:47.643,5629,KB_W5-Weekday-108800_BX2_233,2015-12-30,BX020035,101310,224.47,10034.69,< 1 stop away
X17J,40.612292,-74.159292,2015-12-30T18:59:52.000,2495,CH_E5-Weekday-106200_MISC_837,2015-12-30,X17J0047,200443,278.74,38574.54,< 1 stop away
M14A,40.716659,-73.98905,2015-12-30T19:00:04.000,5296,MQ_W5-Weekday-109300_M14AD_64,2015-12-30,M14A0014,403475,25.09,4203.97,at stop
B1,40.620733,-74.024959,2015-12-30T18:59:35.000,7141,UP_W5-Weekday-112600_B1_27,2015-12-30,B1C0054,305511,91.66,567.94,approaching
M102,40.738604,-73.983312,2015-12-30T18:59:40.228,5704,OH_W5-Weekday-104700_M101_141,2015-12-30,M1020123,403772,244.15,11166.75,< 1 stop away
B32,40.709371,-73.960619,2015-12-30T18:59:43.000,7245,GA_W5-Weekday-114000_B60_729,2015-12-30,B320022,304943,335.64,350.39,< 1 stop away
B82,40.650927,-73.884813,2015-12-30T19:00:04.000,6818,EN_W5-Weekday-113600_B82_162,2015-12-30,B820203,304087,61.22,1236.46,approaching
Q17,40.709338,-73.794347,2015-12-30T18:59:38.000,9098,JA_W5-Weekday-113600_Q17_16,2015-12-30,Q170205,501903,279.51,1005.87,< 1 stop away
B48,40.666863,-73.96165,2015-12-30T18:59:39.000,9520,GA_W5-Weekday-113500_B48_516,2015-12-30,B480059,307964,16.58,893.93,at stop
B54,40.699029,-73.916194,2015-12-30T18:59:46.000,6574,FP_W5-Weekday-113600_B54_214,2015-12-30,B540063,304420,175.42,731.09,< 1 stop away
BX4A,40.840207,-73.842564,2015-12-30T18:59:53.988,1211,GH_W5-Weekday-108300_BX44A_123,2015-12-30,BX04A0044,802060,225.66,8092.67,< 1 stop away
BX30,40.880095,-73.876438,2015-12-30T18:59:49.132,4334,GH_W5-Weekday-113500_BX30_219,2015-12-30,BX300080,101861,5.93,1057.65,at stop
BX22,40.847922,-73.86709,2015-12-30T18:59:55.269,4796,GH_W5-Weekday-111100_BX22_30,2015-12-30,BX220075,103542,230.88,4726.94,< 1 stop away
BX42,40.846616,-73.895966,2015-12-30T18:59:35.309,4755,GH_W5-Weekday-108000_BX402_34,2015-12-30,BX420096,103446,55.93,10807.12,approaching
B35,40.651483,-73.935852,2015-12-30T18:59:50.000,662,JG_W5-Weekday-109500_B35_49,2015-12-30,B350146,302715,445.75,7949.87,< 1 stop away
